City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Glendale,33.5387,-112.186,28.66,16,1,2.24,US,1637613439
Buffalo,42.8865,-78.8784,2.27,59,75,6.17,US,1637613199
Winston-Salem,36.0999,-80.2442,14.97,33,1,5.66,US,1637613373
Chesapeake,36.819,-76.2749,10.55,88,90,2.24,US,1637613358
Fremont,37.5483,-121.9886,24.23,54,1,2.24,US,1637613121
Norfolk,42.1668,-71.2495,11.84,71,75,3.6,US,1637613389
Irving,32.814,-96.9489,20.28,27,20,2.57,US,1637613432
Garland,32.9126,-96.6389,20.07,29,1,0.45,US,1637613607
Paradise,36.0972,-115.1467,19.75,17,20,3.58,US,1637613397
Arlington,32.7357,-97.1081,20.01,28,1,0.89,US,1637613300
Richmond,37.5538,-77.4603,13.31,74,75,0.45,US,1637613600
Hialeah,25.8576,-80.2781,30.01,68,1,3.09,US,1637613610
Boise,43.6135,-116.2035,8.67,56,1,0.89,US,1637613610
Spokane,47.6166,-117.3677,9.92,89,90,2.06,US,1637613210
Frisco,33.1507,-96.8236,19.84,30,0,1.79,US,1637613497
Moreno Valley,33.9375,-117.2306,28.98,13,1,0.89,US,1637613610
Tacoma,47.2529,-122.4443,10.15,86,90,0.45,US,1637613400
Fontana,34.0922,-117.4351,29.79,14,1,2.24,US,1637613611
Modesto,37.6391,-120.9969,21.43,74,1,2.06,US,1637613338
Baton Rouge,30.4508,-91.1545,21.66,56,1,0.89,US,1637613482
Port St. Lucie,27.2939,-80.3503,25.01,75,75,1.34,US,1637613464
San Bernardino,34.6667,-116.1675,22.21,12,0,2.58,US,1637613611
McKinney,33.1976,-96.6153,19.92,30,1,3.6,US,1637613567
Fayetteville,35.0527,-78.8784,13.82,86,90,1.79,US,1637613369
Santa Clarita,34.3917,-118.5426,28.64,13,1,0.89,US,1637613420
Des Moines,41.6005,-93.6091,6.41,41,75,1.34,US,1637613612
Oxnard,34.1975,-119.177,29.85,10,1,7.2,US,1637613612
Birmingham,33.5207,-86.8025,16.06,44,20,6.17,US,1637613607
Spring Valley,36.108,-115.245,19.12,18,20,3.6,US,1637613613
Huntsville,34.7304,-86.5861,11.77,40,1,1.79,US,1637613613
Rochester,43.1548,-77.6156,2.21,61,75,2.24,US,1637613478
Cape Coral,26.5629,-81.9495,26.03,70,75,1.79,US,1637613388
Tempe,33.4148,-111.9093,28.58,17,40,2.68,US,1637613613
Grand Rapids,42.9634,-85.6681,2.5,55,20,2.24,US,1637613560
Yonkers,40.9312,-73.8988,9.92,64,1,1.79,US,1637613614
Overland Park,38.9822,-94.6708,9.95,35,1,0.45,US,1637613614
Salt Lake City,40.7608,-111.8911,13.79,47,20,2.57,US,1637613502
Amarillo,35.222,-101.8313,21.16,17,1,3.13,US,1637613554
Augusta,48.3667,10.8833,5.28,91,90,3.6,DE,1637613609
Columbus,39.9612,-82.9988,5.06,58,40,1.34,US,1637613078
Tallahassee,30.4383,-84.2807,21.49,71,40,0.45,US,1637613473
Montgomery,39.1501,-77.1997,10.74,43,20,3.58,US,1637613596
Huntington Beach,33.6603,-117.9992,30.96,12,1,1.34,US,1637613615
Akron,41.0814,-81.519,3.05,56,19,0.89,US,1637613434
Little Rock,34.7465,-92.2896,16.29,35,75,1.54,US,1637613429
Glendale,33.5387,-112.186,28.66,16,1,2.24,US,1637613439
Grand Prairie,32.746,-96.9978,20.21,26,1,3.09,US,1637613358
Aurora,39.7294,-104.8319,22.59,13,20,0.45,US,1637613361
Sunrise Manor,36.2111,-115.0731,21.36,14,1,2.06,US,1637613616
Ontario,34.0633,-117.6509,30.25,13,40,0.89,US,1637613616
Sioux Falls,43.55,-96.7003,6.16,45,75,3.6,US,1637613608
Knoxville,35.9606,-83.9207,11.14,39,1,3.09,US,1637613616
Vancouver,49.2497,-123.1193,8.79,87,90,2.24,CA,1637612931
Mobile,30.7835,-88.2,19.09,75,90,0.45,US,1637613617
Worcester,42.3334,-71.8328,9.76,73,1,0.89,US,1637613617
Chattanooga,35.0456,-85.3097,13.53,45,1,1.34,US,1637613412
Brownsville,25.9018,-97.4975,22.72,62,40,3.58,US,1637613347
Peoria,40.7667,-89.7668,4.19,37,20,4.12,US,1637613422
Fort Lauderdale,26.1223,-80.1434,30.01,72,75,3.6,US,1637613618
Shreveport,32.5251,-93.7502,18.36,38,1,2.57,US,1637613618
Newport News,36.9788,-76.428,10.15,91,90,4.12,US,1637613464
Providence,41.824,-71.4128,12.12,75,90,1.34,US,1637613483
Elk Grove,38.4088,-121.3716,21.74,68,1,0.89,US,1637613618
Rancho Cucamonga,34.1064,-117.5931,29.81,14,40,2.24,US,1637613554
Salem,11.65,78.1667,22.84,94,100,1.87,IN,1637613324
Pembroke Pines,26.0032,-80.2239,30.0,72,1,4.12,US,1637613619
Santa Rosa,14.3122,121.1114,26.99,89,19,2.95,PH,1637613619
Eugene,44.0521,-123.0867,14.65,60,20,0.45,US,1637613619
Oceanside,33.1959,-117.3795,33.16,24,1,1.34,US,1637613620
Cary,35.7915,-78.7811,13.39,79,75,2.24,US,1637613595
Fort Collins,40.5853,-105.0844,21.28,21,1,2.24,US,1637613620
Corona,33.8753,-117.5664,30.87,17,1,2.57,US,1637613612
Enterprise,36.0252,-115.2419,18.77,18,20,0.89,US,1637613620
Garden Grove,33.7739,-117.9415,30.85,12,20,1.54,US,1637613609
Springfield,37.2153,-93.2982,12.31,30,1,1.34,US,1637613544
Clarksville,36.5298,-87.3595,8.38,46,1,5.14,US,1637613546
Bayamon,18.3986,-66.1557,29.3,72,75,1.34,PR,1637613621
Lakewood,39.7047,-105.0814,22.38,13,0,0.89,US,1637613353
Alexandria,31.2156,29.9553,17.3,77,40,2.06,EG,1637613621
Hayward,37.6688,-122.0808,23.02,52,1,0.45,US,1637613576
Murfreesboro,35.8456,-86.3903,8.65,42,1,3.6,US,1637613622
Killeen,31.1171,-97.7278,21.36,21,1,6.17,US,1637613495
Hollywood,34.0983,-118.3267,30.56,13,1,0.45,US,1637613422
Lancaster,40.2504,-76.2499,8.21,49,1,2.68,US,1637613529
Salinas,36.6777,-121.6555,26.67,28,1,6.69,US,1637613459
Jackson,42.4165,-122.8345,16.58,31,0,0.58,US,1637613436
Midland,31.9974,-102.0779,19.75,22,1,2.57,US,1637613601
Macon County,39.8667,-88.9668,3.73,35,75,5.14,US,1637613373
Kansas City,39.0997,-94.5786,10.31,34,1,2.68,US,1637613346
Palmdale,34.5794,-118.1165,25.77,15,1,2.24,US,1637613623
Sunnyvale,37.3688,-122.0363,24.43,49,1,0.89,US,1637613623
Springfield,37.2153,-93.2982,12.31,30,1,1.34,US,1637613544
Escondido,33.1192,-117.0864,32.02,16,1,2.68,US,1637613463
Pomona,34.0553,-117.7523,30.55,13,1,0.45,US,1637613470
Bellevue,47.6104,-122.2007,10.58,76,90,0.89,US,1637613226
Surprise,33.6306,-112.3332,28.62,16,1,1.79,US,1637613359
Naperville,41.7859,-88.1473,2.92,33,1,1.34,US,1637613609
Pasadena,29.6911,-95.2091,22.75,49,20,3.13,US,1637613624
Denton,33.2001,-97.1336,19.94,33,1,0.45,US,1637613624
Roseville,38.7521,-121.288,24.43,63,1,0.89,US,1637613624
Joliet,41.525,-88.0817,3.27,38,1,4.02,US,1637613624
Thornton,39.868,-104.9719,22.34,16,20,1.79,US,1637613610
McAllen,26.2034,-98.23,24.96,51,1,4.63,US,1637613625
Paterson,40.9168,-74.1718,9.97,64,40,1.79,US,1637613625
Rockford,42.2711,-89.094,2.33,25,20,6.69,US,1637613437
Carrollton,32.9537,-96.8903,20.18,30,1,0.45,US,1637613626
Bridgeport,41.167,-73.2048,10.57,69,1,0.45,US,1637613475
Miramar,25.9873,-80.2323,30.01,72,1,4.12,US,1637613387
Round Rock,30.5083,-97.6789,21.62,30,1,0.89,US,1637613427
Metairie,29.9841,-90.1528,20.05,77,90,3.13,US,1637613626
Olathe,38.8814,-94.8191,10.05,37,1,1.34,US,1637613609
Waco,31.5493,-97.1467,20.64,26,1,1.34,US,1637613570
